ineff,eff,C_r,alpha,NTU,T_H_out,T_C_out,run
1.0000,2.5170e-05,0,1.0000e-04,1,50,69.603,1
0.4720,0.5280,0.9000,1.0000e-04,1,209.31,214,10
1.0000,-1.1179e-05,0,0.9000,1,0,0,100
0.0457,0.9543,0.9000,0.2000,39.8110,82.818,638.85,1000
0.0344,0.9656,1,0.2000,39.8110,70.786,629.21,1001
1.0003,-2.7068e-04,0,0.3000,39.8110,0,0,1002
-0.1012,1.1012,0.1000,0.3000,39.8110,577.43,650,1003
-0.0140,1.0140,0.2000,0.3000,39.8110,525.65,650,1004
0.0850,0.9150,0.3000,0.3000,39.8110,488.23,650,1005
0.0067,0.9933,0.4000,0.3000,39.8110,422.62,650,1006
0.0111,0.9889,0.5000,0.3000,39.8110,328.18,650,1007
-0.0800,1.0800,0.6000,0.3000,39.8110,256.04,649.98,1008
0.1151,0.8849,0.7000,0.3000,39.8110,280.61,650,1009
0.3849,0.6151,0.1000,0.9000,1,613.11,418.4,101
-0.0862,1.0862,0.8000,0.3000,39.8110,123.7,642.29,1010
-0.0613,1.0613,0.9000,0.3000,39.8110,63.669,595.74,1011
0.0257,0.9743,1,0.3000,39.8110,65.763,605.6,1012
1.0003,-3.0701e-04,0,0.4000,39.8110,0,0,1013
-0.0205,1.0205,0.1000,0.4000,39.8110,587.06,650,1014
0.0022,0.9978,0.2000,0.4000,39.8110,539.54,650,1015
-1.2848e-04,1.0001,0.3000,0.4000,39.8110,469.94,650,1016
-0.0064,1.0064,0.4000,0.4000,39.8110,418.91,650,1017
-7.5666e-04,1.0008,0.5000,0.4000,39.8110,359.71,650,1018
0.0208,0.9792,0.6000,0.4000,39.8110,309.19,649.99,1019
0.4027,0.5973,0.2000,0.9000,1,578.24,408.29,102
-0.0019,1.0019,0.7000,0.4000,39.8110,212.08,649.22,1020
-0.0191,1.0191,0.8000,0.4000,39.8110,135.14,645.39,1021
-0.0024,1.0024,0.9000,0.4000,39.8110,120.32,641.47,1022
0.0058,0.9942,1,0.4000,39.8110,70.909,607.16,1023
1.0003,-3.2335e-04,0,0.5000,39.8110,0,0,1024
0.0203,0.9797,0.1000,0.5000,39.8110,590.96,650,1025
0.0096,0.9904,0.2000,0.5000,39.8110,527.62,650,1026
0.0634,0.9366,0.3000,0.5000,39.8110,499.86,650,1027
0.0279,0.9721,0.4000,0.5000,39.8110,440.11,650,1028
-0.0175,1.0175,0.5000,0.5000,39.8110,348.03,650,1029
0.4191,0.5809,0.3000,0.9000,1,545.35,398.37,103
-0.0027,1.0027,0.6000,0.5000,39.8110,312.98,649.98,1030
-5.6000e-04,1.0006,0.7000,0.5000,39.8110,238.93,649.55,1031
-0.0154,1.0154,0.8000,0.5000,39.8110,172.37,648.69,1032
0.0183,0.9817,0.9000,0.5000,39.8110,76.842,627.33,1033
0.0539,0.9461,1,0.5000,39.8110,82.496,617.49,1034
1.0004,-3.6684e-04,0,0.6000,39.8110,0,0,1035
0.0086,0.9914,0.1000,0.6000,39.8110,591.55,650,1036
0.0549,0.9451,0.2000,0.6000,39.8110,548.85,650,1037
-0.0061,1.0061,0.3000,0.6000,39.8110,468.45,650,1038
-0.0378,1.0378,0.4000,0.6000,39.8110,405.83,650,1039
0.4336,0.5664,0.4000,0.9000,1,514.48,389.26,104
-0.0178,1.0178,0.5000,0.6000,39.8110,347.33,649.99,1040
0.0149,0.9851,0.6000,0.6000,39.8110,308.85,649.97,1041
-0.0489,1.0489,0.7000,0.6000,39.8110,191.45,649.03,1042
0.0054,0.9946,0.8000,0.6000,39.8110,171.35,644.16,1043
0.0550,0.9450,0.9000,0.6000,39.8110,213.66,634.19,1044
0.0480,0.9520,1,0.6000,39.8110,76.935,604.29,1045
1.0004,-4.0668e-04,0,0.7000,39.8110,0,0,1046
0.0167,0.9833,0.1000,0.7000,39.8110,593.24,650,1047
-0.0038,1.0038,0.2000,0.7000,39.8110,523.67,650,1048
0.0061,0.9939,0.3000,0.7000,39.8110,463.71,650,1049
0.4501,0.5499,0.5000,0.9000,1,485.12,379.68,105
-0.0464,1.0464,0.4000,0.7000,39.8110,398.66,650,1050
0.1393,0.8607,0.5000,0.7000,39.8110,437,650,1051
-0.0013,1.0013,0.6000,0.7000,39.8110,326.74,649.86,1052
0.1338,0.8662,0.7000,0.7000,39.8110,338.17,649.62,1053
0.0063,0.9937,0.8000,0.7000,39.8110,193.77,645.67,1054
0.1179,0.8821,0.9000,0.7000,39.8110,105.3,614.03,1055
0.0457,0.9543,1,0.7000,39.8110,94.174,612.94,1056
1.0004,-4.2110e-04,0,0.8000,39.8110,0,0,1057
-0.0037,1.0037,0.1000,0.8000,39.8110,590.89,650,1058
0.0480,0.9520,0.2000,0.8000,39.8110,546.27,650,1059
0.4658,0.5342,0.6000,0.9000,1,457.48,370.64,106
-0.0975,1.0975,0.3000,0.8000,39.8110,484.31,650,1060
0.0374,0.9626,0.4000,0.8000,39.8110,428.68,650,1061
0.0514,0.9486,0.5000,0.8000,39.8110,381.03,649.98,1062
8.9104e-04,0.9991,0.6000,0.8000,39.8110,290.33,649.43,1063
-0.0682,1.0682,0.7000,0.8000,39.8110,212.44,645.14,1064
-0.0614,1.0614,0.8000,0.8000,39.8110,119.15,613.39,1065
0.0773,0.9227,0.9000,0.8000,39.8110,118.67,611.23,1066
0.1287,0.8713,1,0.8000,39.8110,119.92,581.69,1067
1.0004,-4.3855e-04,0,0.9000,39.8110,0,0,1068
-0.0226,1.0226,0.1000,0.9000,39.8110,587.28,650,1069
0.4800,0.5200,0.7000,0.9000,1,431.45,361.6,107
0.0799,0.9201,0.2000,0.9000,39.8110,538.55,650,1070
-0.0273,1.0273,0.3000,0.9000,39.8110,463.64,650,1071
-0.0686,1.0686,0.4000,0.9000,39.8110,389.04,649.93,1072
0.0729,0.9271,0.5000,0.9000,39.8110,400.74,649.94,1073
0.0239,0.9761,0.6000,0.9000,39.8110,286.64,648.98,1074
0.0314,0.9686,0.7000,0.9000,39.8110,204.72,642.25,1075
0.0247,0.9753,0.8000,0.9000,39.8110,181.91,635.11,1076
0.1514,0.8486,0.9000,0.9000,39.8110,191.35,631.66,1077
0.0674,0.9326,1,0.9000,39.8110,148.64,619.89,1078
0.4937,0.5063,0.8000,0.9000,1,407.2,353.62,108
0.5082,0.4918,0.9000,0.9000,1,384.17,345.21,109
0.9988,0.0012,0,1.0000e-04,63.0960,50,50.727,1090
-0.0275,1.0275,0.1000,1.0000e-04,63.0960,586.07,650,1091
-0.0569,1.0569,0.2000,1.0000e-04,63.0960,526.13,650,1092
-0.0503,1.0503,0.3000,1.0000e-04,63.0960,461.61,650,1093
-0.0141,1.0141,0.4000,1.0000e-04,63.0960,408.28,650,1094
-0.0151,1.0151,0.5000,1.0000e-04,63.0960,342.77,650,1095
-0.0016,1.0016,0.6000,1.0000e-04,63.0960,288.54,650,1096
0.0028,0.9972,0.7000,1.0000e-04,63.0960,229.79,650,1097
-0.0087,1.0087,0.8000,1.0000e-04,63.0960,162.22,650,1098
-0.0028,1.0028,0.9000,1.0000e-04,63.0960,114.89,649.97,1099
0.4621,0.5379,1,1.0000e-04,1,409.49,444.36,11
0.5205,0.4795,1,0.9000,1,362.4,337.32,110
0.0119,0.9881,1,1.0000e-04,63.0960,55.008,635.95,1100
1.0002,-2.2797e-04,0,0.1000,63.0960,0,0,1101
0.0093,0.9907,0.1000,0.1000,63.0960,591.42,650,1102
0.0302,0.9698,0.2000,0.1000,63.0960,529.93,650,1103
-0.0206,1.0206,0.3000,0.1000,63.0960,467.52,650,1104
0.0608,0.9392,0.4000,0.1000,63.0960,424.41,650,1105
0.0320,0.9680,0.5000,0.1000,63.0960,362.65,650,1106
0.0673,0.9327,0.6000,0.1000,63.0960,282.12,650,1107
-1.9597e-05,1.0000,0.7000,0.1000,63.0960,230.01,650,1108
-0.0109,1.0109,0.8000,0.1000,63.0960,180.88,650,1109
-0.0509,1.0509,0.9000,0.1000,63.0960,102.98,649.5,1110
0.0095,0.9905,1,0.1000,63.0960,69.363,642.9,1111
1.0003,-3.4243e-04,0,0.2000,63.0960,0,0,1112
-0.0091,1.0091,0.1000,0.2000,63.0960,587.81,650,1113
-0.0145,1.0145,0.2000,0.2000,63.0960,539.17,650,1114
0.0159,0.9841,0.3000,0.2000,63.0960,481.73,650,1115
0.0443,0.9557,0.4000,0.2000,63.0960,423.1,650,1116
1.8136e-04,0.9998,0.5000,0.2000,63.0960,342.39,650,1117
-0.0265,1.0265,0.6000,0.2000,63.0960,327.23,650,1118
0.0186,0.9814,0.7000,0.2000,63.0960,220.9,650,1119
-0.0288,1.0288,0.8000,0.2000,63.0960,179.28,649.99,1120
0.0622,0.9378,0.9000,0.2000,63.0960,155.03,649.78,1121
0.0345,0.9655,1,0.2000,63.0960,83.733,646.06,1122
1.0004,-4.1475e-04,0,0.3000,63.0960,0,0,1123
0.0576,0.9424,0.1000,0.3000,63.0960,593.43,650,1124
0.0689,0.9311,0.2000,0.3000,63.0960,544.64,650,1125
0.3133,0.6867,0.3000,0.3000,63.0960,564.81,650,1126
-0.0209,1.0209,0.4000,0.3000,63.0960,404.86,650,1127
0.1317,0.8683,0.5000,0.3000,63.0960,407.17,650,1128
-0.0594,1.0594,0.6000,0.3000,63.0960,313.87,650,1129
-0.1066,1.1066,0.7000,0.3000,63.0960,137.61,649.33,1130
0.1006,0.8994,0.8000,0.3000,63.0960,284.74,650,1131
0.0096,0.9904,0.9000,0.3000,63.0960,97.632,647.76,1132
0.1498,0.8502,1,0.3000,63.0960,50.092,412.49,1133
1.0005,-4.8704e-04,0,0.4000,63.0960,0,0,1134
-0.1208,1.1208,0.1000,0.4000,63.0960,580.07,650,1135
-0.0111,1.0111,0.2000,0.4000,63.0960,520.48,650,1136
0.0281,0.9719,0.3000,0.4000,63.0960,458.23,650,1137
0.0711,0.9289,0.4000,0.4000,63.0960,436.09,650,1138
0.0338,0.9662,0.5000,0.4000,63.0960,366.67,650,1139
-0.0423,1.0423,0.6000,0.4000,63.0960,244.2,650,1140
0.0665,0.9335,0.7000,0.4000,63.0960,257.95,648.68,1141
-0.0274,1.0274,0.8000,0.4000,63.0960,131.83,648.17,1142
-0.0030,1.0030,0.9000,0.4000,63.0960,95.943,640.98,1143
0.0121,0.9879,1,0.4000,63.0960,50.396,514.24,1144
1.0005,-5.2822e-04,0,0.5000,63.0960,0,0,1145
-0.0187,1.0187,0.1000,0.5000,63.0960,585.96,650,1146
0.0491,0.9509,0.2000,0.5000,63.0960,538.35,650,1147
-0.0247,1.0247,0.3000,0.5000,63.0960,470.25,650,1148
-0.0165,1.0165,0.4000,0.5000,63.0960,398.94,650,1149
-0.0199,1.0199,0.5000,0.5000,63.0960,380.04,650,1150
-0.0485,1.0485,0.6000,0.5000,63.0960,278.3,650,1151
-0.0334,1.0334,0.7000,0.5000,63.0960,208.58,649.8,1152
0.0166,0.9834,0.8000,0.5000,63.0960,130.98,649.52,1153
0.0403,0.9597,0.9000,0.5000,63.0960,98.222,643.08,1154
-3.8010e-04,1.0004,1,0.5000,63.0960,86.046,632.94,1155
1.0006,-6.3248e-04,0,0.6000,63.0960,0,0,1156
0.1296,0.8704,0.1000,0.6000,63.0960,604.9,650,1157
0.1142,0.8858,0.2000,0.6000,63.0960,554.08,650,1158
0.0039,0.9961,0.3000,0.6000,63.0960,490.66,650,1159
-0.0018,1.0018,0.4000,0.6000,63.0960,432.51,650,1160
-0.0293,1.0293,0.5000,0.6000,63.0960,322.83,650,1161
-0.0625,1.0625,0.6000,0.6000,63.0960,288.15,649.98,1162
-0.0227,1.0227,0.7000,0.6000,63.0960,256.45,649.94,1163
0.0119,0.9881,0.8000,0.6000,63.0960,175.64,647.6,1164
-0.0189,1.0189,0.9000,0.6000,63.0960,108.64,626.2,1165
0.1316,0.8684,1,0.6000,63.0960,155.76,645.24,1166
1.0006,-6.2018e-04,0,0.7000,63.0960,0,0,1167
0.0311,0.9689,0.1000,0.7000,63.0960,600.27,650,1168
0.0065,0.9935,0.2000,0.7000,63.0960,532.65,650,1169
0.1531,0.8469,0.3000,0.7000,63.0960,511.19,650,1170
0.0962,0.9038,0.4000,0.7000,63.0960,466.13,650,1171
0.0611,0.9389,0.5000,0.7000,63.0960,325.54,649.93,1172
-0.0434,1.0434,0.6000,0.7000,63.0960,280.32,649.97,1173
0.0312,0.9688,0.7000,0.7000,63.0960,242.31,649.43,1174
0.0276,0.9724,0.8000,0.7000,63.0960,160.68,645.96,1175
0.0957,0.9043,0.9000,0.7000,63.0960,252.82,646.81,1176
0.0362,0.9638,1,0.7000,63.0960,148.59,618.51,1177
1.0006,-6.1768e-04,0,0.8000,63.0960,0,0,1178
0.1630,0.8370,0.1000,0.8000,63.0960,603.65,650,1179
-0.1935,1.1935,0.2000,0.8000,63.0960,503.73,650,1180
-0.0632,1.0632,0.3000,0.8000,63.0960,473.26,650,1181
0.2290,0.7710,0.4000,0.8000,63.0960,423.63,650,1182
0.0959,0.9041,0.5000,0.8000,63.0960,395.16,649.99,1183
-0.0525,1.0525,0.6000,0.8000,63.0960,277.6,649.7,1184
0.0373,0.9627,0.7000,0.8000,63.0960,254.45,649.11,1185
0.0424,0.9576,0.8000,0.8000,63.0960,169.13,642.47,1186
0.0632,0.9368,0.9000,0.8000,63.0960,187.16,645.66,1187
-0.0372,1.0372,1,0.8000,63.0960,81.133,596.23,1188
1.0008,-7.6948e-04,0,0.9000,63.0960,0,0,1189
0.0249,0.9751,0.1000,0.9000,63.0960,573.43,650,1190
0.0125,0.9875,0.2000,0.9000,63.0960,527.37,650,1191
0.1025,0.8975,0.3000,0.9000,63.0960,496.91,650,1192
0.0718,0.9282,0.4000,0.9000,63.0960,437.43,650,1193
0.0571,0.9429,0.5000,0.9000,63.0960,377.11,649.97,1194
0.1282,0.8718,0.6000,0.9000,63.0960,320.82,649.18,1195
-0.0403,1.0403,0.7000,0.9000,63.0960,183.09,643.78,1196
0.0384,0.9616,0.8000,0.9000,63.0960,169.57,632.33,1197
0.1129,0.8871,0.9000,0.9000,63.0960,115.77,617.28,1198
0.0148,0.9852,1,0.9000,63.0960,285.01,647.19,1199
1.0000,-3.6889e-06,0,0.1000,1,0,0,12
0.9981,0.0019,0,1.0000e-04,100,50,51.154,1211
-0.0278,1.0278,0.1000,1.0000e-04,100,586.67,650,1212
-0.0438,1.0438,0.2000,1.0000e-04,100,525.86,650,1213
-0.0368,1.0368,0.3000,1.0000e-04,100,450.55,650,1214
-0.0217,1.0217,0.4000,1.0000e-04,100,401.4,650,1215
-0.0594,1.0594,0.5000,1.0000e-04,100,329.28,650,1216
-0.0964,1.0964,0.6000,1.0000e-04,100,278.33,650,1217
-0.1203,1.1203,0.7000,1.0000e-04,100,101.45,649.98,1218
-0.0494,1.0494,0.8000,1.0000e-04,100,128.55,650,1219
1.0000,3.0195e-05,0,1.0000e-04,1.5849,50,50.018,122
-0.0408,1.0408,0.9000,1.0000e-04,100,114.4,650,1220
-0.0353,1.0353,1,1.0000e-04,100,56.988,649.57,1221
1.0004,-3.6140e-04,0,0.1000,100,0,0,1222
0.0428,0.9572,0.1000,0.1000,100,592.03,650,1223
0.0295,0.9705,0.2000,0.1000,100,458.54,650,1224
0.1470,0.8530,0.3000,0.1000,100,497.29,650,1225
0.0545,0.9455,0.4000,0.1000,100,438.71,650,1226
-0.0265,1.0265,0.5000,0.1000,100,365.57,650,1227
-0.0259,1.0259,0.6000,0.1000,100,344.53,650,1228
0.1237,0.8763,0.7000,0.1000,100,249,650,1229
0.2215,0.7785,0.1000,1.0000e-04,1.5849,603.29,517.13,123
0.1031,0.8969,0.8000,0.1000,100,253.59,650,1230
0.0115,0.9885,0.9000,0.1000,100,139.86,650,1231
0.0578,0.9422,1,0.1000,100,50.501,626.76,1232
1.0004,-4.4934e-04,0,0.2000,100,0,0,1233
0.0449,0.9551,0.1000,0.2000,100,594.02,650,1234
0.0014,0.9986,0.2000,0.2000,100,517.71,650,1235
0.1854,0.8146,0.3000,0.2000,100,524.02,650,1236
-0.0424,1.0424,0.4000,0.2000,100,407.78,650,1237
0.1054,0.8946,0.5000,0.2000,100,395.79,650,1238
0.0189,0.9811,0.6000,0.2000,100,287.78,650,1239
0.2326,0.7674,0.2000,1.0000e-04,1.5849,580.19,535.92,124
0.0610,0.9390,0.7000,0.2000,100,297.43,650,1240
0.1304,0.8696,0.8000,0.2000,100,299.16,650,1241
-0.0186,1.0186,0.9000,0.2000,100,130.22,649.95,1242
0.0857,0.9143,1,0.2000,100,124.07,649.84,1243
1.0007,-6.7541e-04,0,0.3000,100,0,0,1244
-0.1047,1.1047,0.1000,0.3000,100,571.21,650,1245
-0.0402,1.0402,0.2000,0.3000,100,516.03,650,1246
0.1691,0.8309,0.3000,0.3000,100,496.32,650,1247
0.1905,0.8095,0.4000,0.3000,100,478.14,650,1248
0.8969,0.1031,0.5000,0.3000,100,641.46,650,1249
0.6112,0.3888,0.3000,1.0000e-04,1.5849,344.6,158.25,125
-0.1544,1.1544,0.6000,0.3000,100,183.14,649.98,1250
0.0964,0.9036,0.7000,0.3000,100,340.15,650,1251
-0.0519,1.0519,0.8000,0.3000,100,212.59,650,1252
-0.0284,1.0284,0.9000,0.3000,100,50.065,511.98,1253
-0.0389,1.0389,1,0.3000,100,56.723,592.17,1254
1.0007,-6.8975e-04,0,0.4000,100,0,0,1255
0.1635,0.8365,0.1000,0.4000,100,602.32,650,1256
0.2613,0.7387,0.2000,0.4000,100,579.77,650,1257
-0.2494,1.2494,0.3000,0.4000,100,354.42,650,1258
0.0153,0.9847,0.4000,0.4000,100,437.97,650,1259
0.3740,0.6260,0.4000,1.0000e-04,1.5849,430.08,351.11,126
-0.0035,1.0035,0.5000,0.4000,100,352.64,650,1260
-0.0314,1.0314,0.6000,0.4000,100,294.69,650,1261
0.1800,0.8200,0.7000,0.4000,100,359.19,650,1262
0.1928,0.8072,0.8000,0.4000,100,228.09,649.98,1263
0.1298,0.8702,0.9000,0.4000,100,222.64,649.77,1264
-0.1830,1.1830,1,0.4000,100,78.99,630.3,1265
1.0008,-8.4460e-04,0,0.5000,100,0,0,1266
-0.0315,1.0315,0.1000,0.5000,100,583.44,650,1267
0.0450,0.9550,0.2000,0.5000,100,560.17,650,1268
-0.0191,1.0191,0.3000,0.5000,100,458.31,650,1269
0.3081,0.6919,0.5000,1.0000e-04,1.5849,423.4,429.4,127
-0.0299,1.0299,0.4000,0.5000,100,377.3,650,1270
0.0958,0.9042,0.5000,0.5000,100,374.19,650,1271
-1.7671e-04,1.0002,0.6000,0.5000,100,289.94,650,1272
-0.1265,1.1265,0.7000,0.5000,100,216.63,649.97,1273
-0.0179,1.0179,0.8000,0.5000,100,156.24,648.72,1274
0.0461,0.9539,0.9000,0.5000,100,79.847,637.13,1275
0.0444,0.9556,1,0.5000,100,76.812,623.18,1276
1.0009,-8.8673e-04,0,0.6000,100,0,0,1277
0.2814,0.7186,0.1000,0.6000,100,613.26,650,1278
-0.1696,1.1696,0.2000,0.6000,100,497.18,650,1279
0.3773,0.6227,0.6000,1.0000e-04,1.5849,311.29,416.77,128
0.9760,0.0240,0.3000,0.6000,100,628.81,650,1280
-0.1051,1.1051,0.4000,0.6000,100,401.67,650,1281
-0.0595,1.0595,0.5000,0.6000,100,355.95,650,1282
9.0864e-04,0.9991,0.6000,0.6000,100,293.76,650,1283
0.1167,0.8833,0.7000,0.6000,100,333.94,649.99,1284
0.2434,0.7566,0.8000,0.6000,100,335.04,649.79,1285
-0.0035,1.0035,0.9000,0.6000,100,124.48,644.73,1286
-0.0254,1.0254,1,0.6000,100,77.885,571.21,1287
1.0012,-0.0012,0,0.7000,100,0,0,1288
0.2349,0.7651,0.1000,0.7000,100,609.77,650,1289
0.3718,0.6282,0.7000,1.0000e-04,1.5849,339.54,392.97,129
-0.0812,1.0812,0.2000,0.7000,100,503.41,650,1290
-0.0324,1.0324,0.3000,0.7000,100,519.73,650,1291
0.1355,0.8645,0.4000,0.7000,100,427.7,650,1292
-0.1032,1.1032,0.5000,0.7000,100,326.63,650,1293
-0.0878,1.0878,0.6000,0.7000,100,228.71,649.93,1294
0.1189,0.8811,0.7000,0.7000,100,370.93,649.97,1295
0.1358,0.8642,0.8000,0.7000,100,376.55,648.86,1296
-0.0289,1.0289,0.9000,0.7000,100,67.106,544.73,1297
0.0264,0.9736,1,0.7000,100,69.148,472.15,1298
1.0010,-0.0010,0,0.8000,100,0,0,1299
0.3813,0.6187,0.1000,0.1000,1,612.9,421.16,13
0.3517,0.6483,0.8000,1.0000e-04,1.5849,332.2,475.73,130
-0.0854,1.0854,0.1000,0.8000,100,584.07,650,1300
-0.1021,1.1021,0.2000,0.8000,100,512.37,650,1301
0.0246,0.9754,0.3000,0.8000,100,482.64,650,1302
-0.2469,1.2469,0.4000,0.8000,100,340.26,649.96,1303
0.1431,0.8569,0.5000,0.8000,100,400.39,650,1304
0.0106,0.9894,0.6000,0.8000,100,295.54,649.86,1305
0.0522,0.9478,0.7000,0.8000,100,230.51,634.43,1306
-0.0285,1.0285,0.8000,0.8000,100,160.72,634.85,1307
0.1215,0.8785,0.9000,0.8000,100,160.4,637.84,1308
0.1097,0.8903,1,0.8000,100,242.45,640.94,1309
0.3830,0.6170,0.9000,1.0000e-04,1.5849,286.34,381.4,131
1.0011,-0.0011,0,0.9000,100,0,0,1310
-0.0185,1.0185,0.1000,0.9000,100,573.96,650,1311
-0.0034,1.0034,0.2000,0.9000,100,529.56,650,1312
0.1348,0.8652,0.3000,0.9000,100,532.37,650,1313
-0.0119,1.0119,0.4000,0.9000,100,457.76,650,1314
-0.0064,1.0064,0.5000,0.9000,100,290.73,649.62,1315
0.0511,0.9489,0.6000,0.9000,100,333.11,649.73,1316
0.0066,0.9934,0.7000,0.9000,100,232.81,645.74,1317
0.0952,0.9048,0.8000,0.9000,100,206.32,633.98,1318
0.0118,0.9882,0.9000,0.9000,100,166.75,625.98,1319
0.3360,0.6640,1,1.0000e-04,1.5849,247.97,350.78,132
-0.0458,1.0458,1,0.9000,100,122.49,609.56,1320
0.9991,9.2698e-04,0,0.1000,1.5849,50,50.56,133
0.2219,0.7781,0.1000,0.1000,1.5849,603.35,517.35,134
0.2367,0.7633,0.2000,0.1000,1.5849,558.71,506.65,135
