NTU,alpha,savefile,C_r,run
39.8110,0.9999,0,0,1079
39.8110,0.9999,0,0.1000,1080
39.8110,0.9999,0,0.2000,1081
39.8110,0.9999,0,0.3000,1082
39.8110,0.9999,0,0.4000,1083
39.8110,0.9999,0,0.5000,1084
39.8110,0.9999,0,0.6000,1085
39.8110,0.9999,0,0.7000,1086
39.8110,0.9999,0,0.8000,1087
39.8110,0.9999,0,0.9000,1088
39.8110,0.9999,0,1,1089
1,0.9999,1,0,111
1,0.9999,0,0.1000,112
1,0.9999,0,0.2000,113
1,0.9999,0,0.3000,114
1,0.9999,1,0.4000,115
1,0.9999,0,0.5000,116
1,0.9999,0,0.6000,117
1,0.9999,0,0.7000,118
1,0.9999,0,0.8000,119
1,0.9999,0,0.9000,120
63.0960,0.9999,0,0,1200
63.0960,0.9999,0,0.1000,1201
63.0960,0.9999,0,0.2000,1202
63.0960,0.9999,0,0.3000,1203
63.0960,0.9999,0,0.4000,1204
63.0960,0.9999,0,0.5000,1205
63.0960,0.9999,0,0.6000,1206
63.0960,0.9999,0,0.7000,1207
63.0960,0.9999,0,0.8000,1208
63.0960,0.9999,0,0.9000,1209
1,0.9999,1,1,121
63.0960,0.9999,0,1,1210
100,0.9999,1,0,1321
100,0.9999,0,0.1000,1322
100,0.9999,0,0.2000,1323
100,0.9999,0,0.3000,1324
100,0.9999,1,0.4000,1325
100,0.9999,0,0.5000,1326
100,0.9999,0,0.6000,1327
100,0.9999,0,0.7000,1328
100,0.9999,0,0.8000,1329
100,0.9999,0,0.9000,1330
100,0.9999,1,1,1331
1.5849,0.9999,0,0,232
1.5849,0.9999,0,0.1000,233
1.5849,0.9999,0,0.2000,234
1.5849,0.9999,0,0.3000,235
1.5849,0.9999,0,0.4000,236
1.5849,0.9999,0,0.5000,237
1.5849,0.9999,0,0.6000,238
1.5849,0.9999,0,0.7000,239
1.5849,0.9999,0,0.8000,240
1.5849,0.9999,0,0.9000,241
1.5849,0.9999,0,1,242
2.5119,0.9999,0,0,353
2.5119,0.9999,0,0.1000,354
2.5119,0.9999,0,0.2000,355
2.5119,0.9999,0,0.3000,356
2.5119,0.9999,0,0.4000,357
2.5119,0.9999,0,0.5000,358
2.5119,0.9999,0,0.6000,359
2.5119,0.9999,0,0.7000,360
2.5119,0.9999,0,0.8000,361
2.5119,0.9999,0,0.9000,362
2.5119,0.9999,0,1,363
3.9811,0.9999,0,0,474
3.9811,0.9999,0,0.1000,475
3.9811,0.9999,0,0.2000,476
3.9811,0.9999,0,0.3000,477
3.9811,0.9999,0,0.4000,478
3.9811,0.9999,0,0.5000,479
3.9811,0.9999,0,0.6000,480
3.9811,0.9999,0,0.7000,481
3.9811,0.9999,0,0.8000,482
3.9811,0.9999,0,0.9000,483
3.9811,0.9999,0,1,484
6.3096,0.9999,1,0,595
6.3096,0.9999,0,0.1000,596
6.3096,0.9999,0,0.2000,597
6.3096,0.9999,0,0.3000,598
6.3096,0.9999,1,0.4000,599
6.3096,0.9999,0,0.5000,600
6.3096,0.9999,0,0.6000,601
6.3096,0.9999,0,0.7000,602
6.3096,0.9999,0,0.8000,603
6.3096,0.9999,0,0.9000,604
6.3096,0.9999,1,1,605
10,0.9999,0,0,716
10,0.9999,0,0.1000,717
10,0.9999,0,0.2000,718
10,0.9999,0,0.3000,719
10,0.9999,0,0.4000,720
10,0.9999,0,0.5000,721
10,0.9999,0,0.6000,722
10,0.9999,0,0.7000,723
10,0.9999,0,0.8000,724
10,0.9999,0,0.9000,725
10,0.9999,0,1,726
15.8490,0.9999,0,0,837
15.8490,0.9999,0,0.1000,838
15.8490,0.9999,0,0.2000,839
15.8490,0.9999,0,0.3000,840
15.8490,0.9999,0,0.4000,841
15.8490,0.9999,0,0.5000,842
15.8490,0.9999,0,0.6000,843
15.8490,0.9999,0,0.7000,844
15.8490,0.9999,0,0.8000,845
15.8490,0.9999,0,0.9000,846
15.8490,0.9999,0,1,847
25.1190,0.9999,0,0,958
25.1190,0.9999,0,0.1000,959
25.1190,0.9999,0,0.2000,960
25.1190,0.9999,0,0.3000,961
25.1190,0.9999,0,0.4000,962
25.1190,0.9999,0,0.5000,963
25.1190,0.9999,0,0.6000,964
25.1190,0.9999,0,0.7000,965
25.1190,0.9999,0,0.8000,966
25.1190,0.9999,0,0.9000,967
25.1190,0.9999,0,1,968
