ineff,eff,alpha,NTU,C_r,T_C_out,T_H_out,m_dot_C,m_dot_H,ConvSteps,run
0.3692,0.6308,0,1,0.0100,428.49,646.22,1.7369,173.7006,60,1
0.4874,0.5126,0,1,0.9000,357.55,373.23,1.7372,1.9300,60,10
0.3697,0.6303,0.9000,1,0.0100,428.32,646.22,1.7367,173.5418,60,100
0.0050,0.9950,0.2000,39.8110,0.9000,646.84,116.77,0.0433,0.0482,60,1000
0.0276,0.9724,0.2000,39.8110,1,626.01,68.236,0.0440,0.0433,60,1001
-8.9102e-04,1.0009,0.3000,39.8110,0.0100,650,643.99,0.0436,4.3432,38,1002
-4.8560e-04,1.0005,0.3000,39.8110,0.1000,650,589.92,0.0436,0.4343,38,1003
-0.0063,1.0063,0.3000,39.8110,0.2000,650,528.93,0.0437,0.2172,60,1004
0.0032,0.9968,0.3000,39.8110,0.3000,650,468.33,0.0441,0.1448,60,1005
7.0182e-04,0.9993,0.3000,39.8110,0.4000,650,410.96,0.0435,0.1086,60,1006
0.0066,0.9934,0.3000,39.8110,0.5000,650,353.72,0.0434,0.0869,60,1007
0.0031,0.9969,0.3000,39.8110,0.6000,650,286.8,0.0441,0.0724,60,1008
-0.0077,1.0077,0.3000,39.8110,0.7000,649.94,229.86,0.0433,0.0620,60,1009
0.3856,0.6144,0.9000,1,0.1000,418.72,613.12,1.7376,17.3541,60,101
0.0014,0.9986,0.3000,39.8110,0.8000,649.17,170.34,0.0436,0.0543,24,1010
0.0107,0.9893,0.3000,39.8110,0.9000,643.64,115.49,0.0436,0.0482,14,1011
0.0408,0.9592,0.3000,39.8110,1,622.95,74.148,0.0439,0.0435,60,1012
-0.0012,1.0012,0.4000,39.8110,0.0100,650,644.04,0.0432,4.3472,60,1013
6.1500e-04,0.9994,0.4000,39.8110,0.1000,650,589.95,0.0437,0.4347,60,1014
-0.0121,1.0121,0.4000,39.8110,0.2000,650,527.15,0.0441,0.2174,60,1015
-6.0999e-04,1.0006,0.4000,39.8110,0.3000,650,469.71,0.0436,0.1449,60,1016
-3.1807e-05,1.0000,0.4000,39.8110,0.4000,650,409.74,0.0436,0.1085,14,1017
-0.0110,1.0110,0.4000,39.8110,0.5000,650,347.09,0.0435,0.0869,60,1018
-0.0137,1.0137,0.4000,39.8110,0.6000,649.98,281.93,0.0439,0.0724,60,1019
0.4024,0.5976,0.9000,1,0.2000,408.59,578.3,1.7367,8.6771,60,102
0.0036,0.9964,0.4000,39.8110,0.7000,649.84,229.89,0.0438,0.0621,60,1020
0.0034,0.9966,0.4000,39.8110,0.8000,648.54,172.22,0.0436,0.0544,60,1021
