ineff,eff,alpha,NTU,C_r,T_C_out,T_H_out,m_dot_C,m_dot_H,ConvSteps,run
-0.00089102,1.0009,0.3,39.811,0.01,650,643.99,0.0436,4.3432,38,1002
-0.0004856,1.0005,0.3,39.811,0.1,650,589.92,0.0436,0.4343,38,1003
-0.0063,1.0063,0.3,39.811,0.2,650,528.93,0.0437,0.2172,60,1004
-0.0077,1.0077,0.3,39.811,0.7,649.94,229.86,0.0433,0.062,60,1009
-0.0012,1.0012,0.4,39.811,0.01,650,644.04,0.0432,4.3472,60,1013
-0.0121,1.0121,0.4,39.811,0.2,650,527.15,0.0441,0.2174,60,1015
-0.00060999,1.0006,0.4,39.811,0.3,650,469.71,0.0436,0.1449,60,1016
-0.011,1.011,0.4,39.811,0.5,650,347.09,0.0435,0.0869,60,1018
-0.0137,1.0137,0.4,39.811,0.6,649.98,281.93,0.0439,0.0724,60,1019
-0.0015,1.0015,0.5,39.811,0.01,650,643.99,0.0436,4.3488,40,1024
-0.0045,1.0045,0.5,39.811,0.1,650,590,0.0434,0.4349,60,1025
-0.00033042,1.0003,0.5,39.811,0.2,650,529.86,0.0436,0.2174,60,1026
-0.0089,1.0089,0.5,39.811,0.4,650,404.9,0.0441,0.1087,60,1028
-5.9109e-05,1.0001,0.5,39.811,0.5,650,349.73,0.0436,0.087,19,1029
-0.0018,1.0018,0.5,39.811,0.8,647.36,168.2,0.0436,0.0544,60,1032
-0.0121,1.0121,0.6,39.811,0.01,650,643.88,0.044,4.3506,60,1035
-0.00034773,1.0003,0.6,39.811,0.2,650,529.85,0.0436,0.2172,14,1037
-0.002,1.002,0.6,39.811,0.3,650,468.44,0.0439,0.145,60,1038
-0.0037,1.0037,0.6,39.811,0.4,650,403.15,0.0447,0.1088,60,1039
-0.0051,1.0051,0.6,39.811,0.6,649.94,296.76,0.0426,0.0724,60,1041
-0.0098,1.0098,0.7,39.811,0.01,650,644.02,0.043,4.3524,60,1046
-0.0014,1.0014,0.7,39.811,0.1,650,590.4,0.0433,0.4352,60,1047
-0.00023435,1.0002,0.7,39.811,0.3,650,469.84,0.0436,0.1451,60,1049
-0.0017,1.0017,0.7,39.811,0.5,649.97,346.77,0.0441,0.0871,60,1051
-0.0057,1.0057,0.8,39.811,0.1,650,590.67,0.0431,0.4357,60,1058
-0.0017,1.0017,0.8,39.811,0.2,650,530.67,0.0437,0.2179,60,1059
-0.0117,1.0117,0.8,39.811,0.3,650,468.32,0.0427,0.1448,60,1060
-0.01,1.01,0.8,39.811,0.4,649.99,404.24,0.0442,0.1089,60,1061
-0.0069,1.0069,0.8,39.811,0.5,649.92,349.91,0.043,0.0869,60,1062
-0.00089391,1.0009,0.8,39.811,0.6,649.41,289.53,0.0435,0.0726,60,1063
-0.0026,1.0026,0.9,39.811,0.01,650,643.98,0.0436,4.3556,27,1068
-0.0028,1.0028,0.9,39.811,0.1,650,589.6,0.0437,0.4353,60,1069
-0.0014,1.0014,0.9,39.811,0.2,650,528.9,0.0438,0.2175,60,1070
-0.0049,1.0049,0.9,39.811,0.4,649.97,407.96,0.0439,0.1089,60,1072
-0.013,1.013,0.9,39.811,0.5,649.69,344.68,0.044,0.0871,60,1073
-0.00018449,1.0002,1,39.811,0.01,650,644,0.0436,4.3639,60,1079
-0.00016785,1.0002,1,39.811,0.1,650,590.45,0.0434,0.4365,60,1080
-0.0188,1.0188,0,63.096,0.01,650,643.78,0.028,2.7533,60,1090
-0.00049932,1.0005,0,63.096,0.4,650,410.57,0.0275,0.0686,60,1094
-0.0013,1.0013,0,63.096,0.5,650,349.58,0.0275,0.055,14,1095
-0.0069,1.0069,0,63.096,0.6,650,282.28,0.0279,0.0463,60,1096
-0.0007875,1.0008,0,63.096,0.7,650,229.66,0.0275,0.0393,15,1097
-0.0068,1.0068,0,63.096,0.8,650,170.38,0.0274,0.0343,60,1098
-0.0029,1.0029,0.1,63.096,0.01,650,643.85,0.0281,2.7327,60,1101
-0.0136,1.0136,0.1,63.096,0.1,650,588.35,0.0279,0.2732,60,1102
-0.0078,1.0078,0.1,63.096,0.3,650,468.02,0.0276,0.091,60,1104
-0.0017,1.0017,0.2,63.096,0.1,650,590.6,0.0272,0.2739,60,1113
-0.00073656,1.0007,0.2,63.096,0.4,650,409.65,0.0275,0.0685,60,1116
-0.0137,1.0137,0.2,63.096,0.6,650,285.94,0.0274,0.0457,60,1118
-0.0011,1.0011,0.3,63.096,0.1,650,589.89,0.0275,0.274,37,1124
-0.00054412,1.0005,0.3,63.096,0.2,650,529.83,0.0275,0.137,60,1125
-0.0123,1.0123,0.3,63.096,0.8,649.84,164.04,0.0275,0.0342,60,1131
-0.0194,1.0194,0.4,63.096,0.1,650,589.54,0.0272,0.2743,60,1135
-0.00062646,1.0006,0.4,63.096,0.2,650,529.83,0.0275,0.1371,19,1136
-0.0152,1.0152,0.4,63.096,0.5,650,343.97,0.0277,0.0549,60,1139
-0.0044,1.0044,0.4,63.096,0.6,650,285.44,0.0277,0.0457,60,1140
-0.0033,1.0033,0.4,63.096,0.7,649.98,226.3,0.0277,0.0391,60,1141
-0.0011,1.0011,0.5,63.096,0.01,650,644.01,0.0274,2.7439,60,1145
-0.00097429,1.001,0.5,63.096,0.1,650,589.19,0.0279,0.2744,60,1146
-0.00013069,1.0001,0.5,63.096,0.5,650,349.7,0.0275,0.0549,60,1150
-0.0119,1.0119,0.5,63.096,0.6,650,289.19,0.0272,0.0457,60,1151
-0.0085,1.0085,0.6,63.096,0.1,650,590.35,0.0271,0.2745,60,1157
-0.011,1.011,0.6,63.096,0.3,650,469.02,0.0274,0.0911,60,1159
-0.0064,1.0064,0.6,63.096,0.5,650,347.34,0.0276,0.0548,60,1161
-0.0099,1.0099,0.6,63.096,0.7,649.78,225.24,0.0276,0.0392,60,1163
-0.0065,1.0065,0.6,63.096,0.8,647.39,158.54,0.0279,0.0341,60,1164
-0.00096843,1.001,0.7,63.096,0.2,650,529.81,0.0275,0.1373,31,1169
-0.0057,1.0057,0.7,63.096,0.6,649.95,283.96,0.0275,0.0454,60,1173
-0.0056,1.0056,0.8,63.096,0.01,650,643.96,0.0275,2.7474,60,1178
-0.00018937,1.0002,0.8,63.096,0.1,650,589.39,0.0278,0.2748,60,1179
-0.0011,1.0011,0.8,63.096,0.2,650,529.8,0.0275,0.1374,60,1180
-0.0058,1.0058,0.8,63.096,0.4,650,412.69,0.0271,0.0687,60,1182
-0.0177,1.0177,0.8,63.096,0.5,649.98,340.22,0.0277,0.0548,60,1183
-0.0015,1.0015,0.8,63.096,0.7,648.57,232.22,0.0276,0.0393,60,1185
-0.0198,1.0198,0.9,63.096,0.01,650,644,0.0269,2.748,60,1189
-0.0024,1.0024,0.9,63.096,0.1,650,589.81,0.0275,0.2748,60,1190
-0.0148,1.0148,0.9,63.096,0.2,650,527.11,0.0278,0.1374,60,1191
-0.0023,1.0023,0.9,63.096,0.8,637.03,177.69,0.027,0.0342,60,1197
-0.0309,1.0309,1,63.096,0.1,650,591.43,0.0261,0.2756,60,1201
-0.0017,1.0017,1,63.096,0.2,650,529.81,0.0275,0.1377,60,1202
-0.0021,1.0021,1,63.096,0.4,649.96,407.91,0.0278,0.069,60,1204
-0.0038,1.0038,1,63.096,0.5,649.56,352.35,0.0272,0.0549,60,1205
-0.0097,1.0097,0,100,0.3,650,464.87,0.0177,0.058,60,1214
-0.0029,1.0029,0,100,0.5,650,347.42,0.0175,0.0353,60,1216
-0.0133,1.0133,0,100,0.6,650,274.44,0.0178,0.0288,60,1217
-0.00090258,1.0009,0,100,0.7,650,229.62,0.0174,0.0248,60,1218
-0.0013,1.0013,0,100,1,644.75,58.526,0.0172,0.0175,60,1221
-0.0278,1.0278,0.1,100,0.1,650,586.64,0.0178,0.1724,60,1223
-0.006,1.006,0.1,100,0.3,650,467.43,0.0175,0.0575,60,1225
-0.0092,1.0092,0.1,100,0.4,650,404.99,0.0175,0.0431,60,1226
-0.00089168,1.0009,0.1,100,0.5,650,350.04,0.0173,0.0345,60,1227
-0.0103,1.0103,0.1,100,0.6,650,288.45,0.0172,0.0288,60,1228
-0.0048,1.0048,0.1,100,0.8,650,166.14,0.0173,0.0215,60,1230
-0.0455,1.0455,0.2,100,0.01,650,643.81,0.0171,1.728,60,1233
-0.0019,1.0019,0.2,100,0.1,650,589.82,0.0174,0.1728,20,1234
-0.0063,1.0063,0.2,100,0.4,650,409.15,0.0173,0.0432,60,1237
-5.238e-05,1.0001,0.2,100,0.7,650,229.49,0.0174,0.0247,26,1240
-0.0055,1.0055,0.3,100,0.2,650,529.02,0.0174,0.0865,60,1246
-0.0133,1.0133,0.3,100,0.3,650,472.95,0.0169,0.0577,60,1247
-0.0213,1.0213,0.3,100,0.8,649.97,171.25,0.017,0.0215,60,1252
-0.0078,1.0078,0.3,100,0.9,647.36,96.883,0.0177,0.0193,60,1253
-0.0113,1.0113,0.4,100,0.01,650,643.96,0.0173,1.7307,60,1255
-0.0239,1.0239,0.4,100,0.1,650,587.52,0.0177,0.1731,60,1256
-0.0198,1.0198,0.4,100,0.2,650,529.86,0.017,0.0865,60,1257
-0.008,1.008,0.4,100,0.3,650,470.24,0.0172,0.0577,60,1258
-0.0407,1.0407,0.4,100,0.4,650,395.97,0.0177,0.0433,60,1259
-0.0072,1.0072,0.4,100,0.5,650,344.78,0.0175,0.0346,60,1260
-0.0043,1.0043,0.4,100,0.8,649.73,162.85,0.0176,0.0217,60,1263
-0.0243,1.0243,0.4,100,0.9,646.17,103.67,0.0171,0.0192,60,1264
-0.0058,1.0058,0.5,100,0.1,650,588.91,0.0175,0.1731,60,1267
-0.0125,1.0125,0.5,100,0.2,650,528.28,0.0174,0.0866,60,1268
-0.0003295,1.0003,0.5,100,0.5,650,349.64,0.0174,0.0346,60,1271
-0.0474,1.0474,0.6,100,0.1,650,590.51,0.0164,0.1731,60,1278
-0.0846,1.0846,0.6,100,0.2,650,527.77,0.0163,0.0866,60,1279
-0.0085,1.0085,0.6,100,0.3,650,464.6,0.0177,0.0577,60,1280
-0.00034767,1.0003,0.6,100,0.5,650,349.61,0.0173,0.0346,13,1282
-0.0046,1.0046,0.7,100,0.01,650,643.99,0.0173,1.7327,60,1288
-0.0268,1.0268,0.7,100,0.2,650,528.06,0.0172,0.0866,60,1290
-5.6904e-05,1.0001,0.7,100,0.3,650,472.38,0.0171,0.0578,60,1291
-0.0173,1.0173,0.7,100,0.4,650,407.21,0.0172,0.0431,60,1292
-0.0032,1.0032,0.7,100,0.6,649.97,283.13,0.0173,0.0288,60,1294
-0.0128,1.0128,0.7,100,0.8,646.95,177.54,0.0174,0.022,60,1296
