ineff,eff,alpha,NTU,C_r,T_C_out,T_H_out,m_dot_C,m_dot_H,ConvSteps,run
0.1085,0.8915,0.1000,7.9433,0.9,580.9,119.05,0.2187,0.2170,17,1324
0.3692,0.6308,0,1,0.0100,428.47,646.21,1.7372,173.7026,60,1
0.4873,0.5127,0,1,0.9000,357.59,373.21,1.7369,1.9300,60,10
0.3696,0.6304,0.9000,1,0.0100,428.23,646.22,1.7368,173.5418,60,100
0.0124,0.9876,0.2000,27.5420,0.9000,642.58,116.5,0.0630,0.0696,14,1000
0.0400,0.9600,0.2000,27.5420,1,620.77,74.905,0.0634,0.0630,60,1001
-0.0050,1.0050,0.3000,27.5420,0.0100,650,643.95,0.0632,6.2779,60,1002
0.0013,0.9987,0.3000,27.5420,0.1000,650,590.16,0.0629,0.6278,60,1003
2.0639e-05,1.0000,0.3000,27.5420,0.2000,650,529.89,0.0631,0.3139,18,1004
0.0017,0.9983,0.3000,27.5420,0.3000,650,470.55,0.0629,0.2093,60,1005
4.5948e-05,1.0000,0.3000,27.5420,0.4000,650,409.76,0.0630,0.1568,15,1006
-9.4825e-04,1.0009,0.3000,27.5420,0.5000,650,351.15,0.0627,0.1256,60,1007
8.4527e-05,0.9999,0.3000,27.5420,0.6000,649.95,289.72,0.0631,0.1046,37,1008
-0.0055,1.0055,0.3000,27.5420,0.7000,649.61,230.24,0.0626,0.0897,60,1009
0.3854,0.6146,0.9000,1,0.1000,418.72,613.12,1.7373,17.3542,60,101
0.0042,0.9958,0.3000,27.5420,0.8000,647.55,171.69,0.0630,0.0784,14,1010
0.0179,0.9821,0.3000,27.5420,0.9000,639.29,119.47,0.0630,0.0697,14,1011
0.0451,0.9549,0.3000,27.5420,1,616.53,79.16,0.0635,0.0630,60,1012
-2.9757e-05,1.0000,0.4000,27.5420,0.0100,650,644,0.0631,6.2838,60,1013
1.3767e-05,1.0000,0.4000,27.5420,0.1000,650,589.95,0.0631,0.6284,43,1014
4.5659e-05,1.0000,0.4000,27.5420,0.2000,650,529.89,0.0630,0.3140,15,1015
4.5326e-05,1.0000,0.4000,27.5420,0.3000,650,469.83,0.0630,0.2093,15,1016
1.5153e-05,1.0000,0.4000,27.5420,0.4000,650,409.8,0.0631,0.1571,34,1017
0.0065,0.9935,0.4000,27.5420,0.5000,649.99,349.78,0.0635,0.1257,60,1018
-0.0079,1.0079,0.4000,27.5420,0.6000,649.89,286.37,0.0632,0.1047,60,1019
0.4024,0.5976,0.9000,1,0.2000,408.56,578.29,1.7369,8.6771,60,102
0.0012,0.9988,0.4000,27.5420,0.7000,649.32,230.19,0.0630,0.0897,15,1020
0.0080,0.9920,0.4000,27.5420,0.8000,646.86,177.47,0.0625,0.0786,60,1021
0.0220,0.9780,0.4000,27.5420,0.9000,636.82,121.71,0.0630,0.0697,14,1022
0.0538,0.9462,0.4000,27.5420,1,615.63,84.296,0.0630,0.0628,14,1023
0.0031,0.9969,0.5000,27.5420,0.0100,650,644.04,0.0628,6.2860,60,1024
-6.5032e-04,1.0007,0.5000,27.5420,0.1000,650,589.73,0.0633,0.6286,60,1025
-0.0014,1.0014,0.5000,27.5420,0.2000,650,530.09,0.0629,0.3143,60,1026
2.6060e-05,1.0000,0.5000,27.5420,0.3000,650,469.84,0.0631,0.2095,16,1027
-0.0077,1.0077,0.5000,27.5420,0.4000,650,408.11,0.0629,0.1571,60,1028
0.0011,0.9989,0.5000,27.5420,0.5000,649.97,347.38,0.0637,0.1257,60,1029
0.4188,0.5812,0.9000,1,0.3000,398.62,545.4,1.7369,5.7847,60,103
3.2821e-04,0.9997,0.5000,27.5420,0.6000,649.83,289.82,0.0630,0.1047,15,1030
0.0018,0.9982,0.5000,27.5420,0.7000,648.97,230.44,0.0630,0.0897,15,1031
0.0062,0.9938,0.5000,27.5420,0.8000,645.19,170.75,0.0633,0.0786,60,1032
0.0251,0.9749,0.5000,27.5420,0.9000,634.91,123.43,0.0631,0.0698,49,1033
