ineff,eff,alpha,NTU,C_r,T_C_out,T_H_out,m_dot_C,m_dot_H,ConvSteps,run
0.3693,0.6307,0,1,0.0100,428.45,646.22,1.7374,173.8080,60,1
0.4874,0.5126,0,1,0.9000,357.56,373.19,1.7372,1.9302,23,10
0.3697,0.6303,0.9000,1,0.0100,428.21,646.22,1.7372,173.5418,60,100
0.0059,0.9941,0.2000,39.8110,0.9000,646.46,109.73,0.0439,0.0482,60,1000
0.0281,0.9719,0.2000,39.8110,1,630.12,69.809,0.0436,0.0433,14,1001
0.0059,0.9941,0.3000,39.8110,0.0100,650,644.02,0.0437,4.3432,60,1002
1.6337e-05,1.0000,0.3000,39.8110,0.1000,650,589.95,0.0436,0.4343,19,1003
3.4169e-05,1.0000,0.3000,39.8110,0.2000,650,529.88,0.0436,0.2170,15,1004
2.0958e-05,1.0000,0.3000,39.8110,0.3000,650,469.83,0.0436,0.1448,36,1005
0.0065,0.9935,0.3000,39.8110,0.4000,650,413.46,0.0432,0.1086,60,1006
3.8110e-05,1.0000,0.3000,39.8110,0.5000,650,349.68,0.0436,0.0868,15,1007
9.7409e-04,0.9990,0.3000,39.8110,0.6000,650,288.13,0.0439,0.0724,60,1008
1.3898e-04,0.9999,0.3000,39.8110,0.7000,649.96,229.65,0.0436,0.0620,14,1009
0.3854,0.6146,0.9000,1,0.1000,418.72,613.12,1.7373,17.3542,60,101
0.0011,0.9989,0.3000,39.8110,0.8000,649.39,170.16,0.0436,0.0542,14,1010
0.0073,0.9927,0.3000,39.8110,0.9000,645.11,118,0.0433,0.0483,60,1011
0.0300,0.9700,0.3000,39.8110,1,625.14,72.842,0.0432,0.0435,60,1012
-5.2170e-05,1.0001,0.4000,39.8110,0.0100,650,643.99,0.0436,4.3472,51,1013
-0.0027,1.0027,0.4000,39.8110,0.1000,650,589.98,0.0435,0.4347,60,1014
0.0041,0.9959,0.4000,39.8110,0.2000,650,530.77,0.0435,0.2174,60,1015
-0.0038,1.0038,0.4000,39.8110,0.3000,650,466.94,0.0442,0.1449,60,1016
-4.4626e-05,1.0000,0.4000,39.8110,0.4000,650,408.91,0.0438,0.1087,60,1017
