j_C,f_D,Re_C,Re_H,rmsd_fiber,rmsd_TC,rmsd_DP,rmsd_Tout,rmsd_qdot
0.0050,0.4507,2.4956e+03,3.0004e+03,33.0406,33.0703,1.5079e+03,23.3583,607.0786
0.0052,0.4507,2.4920e+03,2.9981e+03,32.6254,31.4406,1.5153e+03,21.2573,551.7669
0.0055,0.4507,2.4886e+03,2.9958e+03,32.2536,29.9166,1.5226e+03,19.3206,500.7354
0.0057,0.4507,2.4852e+03,2.9930e+03,31.8924,28.3727,1.5304e+03,17.3882,450.0969
0.0060,0.4507,2.4818e+03,2.9901e+03,31.5573,26.8763,1.5382e+03,15.5448,402.0064
0.0063,0.4507,2.4785e+03,2.9869e+03,31.2461,25.4274,1.5459e+03,13.7915,356.9550
0.0066,0.4507,2.4752e+03,2.9836e+03,30.9494,23.9809,1.5540e+03,12.0754,313.6012
0.0069,0.4507,2.4720e+03,2.9802e+03,30.6755,22.5895,1.5619e+03,10.4648,274.2069
0.0072,0.4507,2.4689e+03,2.9765e+03,30.4142,21.2115,1.5700e+03,8.9209,238.3987
0.0076,0.4507,2.4658e+03,2.9728e+03,30.1748,19.8932,1.5779e+03,7.5105,208.4075
0.0079,0.4507,2.4628e+03,2.9691e+03,29.9540,18.6327,1.5856e+03,6.2558,185.3815
0.0083,0.4507,2.4598e+03,2.9650e+03,29.7401,17.3648,1.5936e+03,5.1468,170.2753
0.0087,0.4507,2.4569e+03,2.9609e+03,29.5442,16.1619,1.6013e+03,4.3379,165.3071
0.0091,0.4507,2.4540e+03,2.9567e+03,29.3586,14.9940,1.6090e+03,3.9190,170.0466
0.0095,0.4507,2.4512e+03,2.9523e+03,29.1840,13.8669,1.6166e+03,3.9671,182.8645
0.0100,0.4507,2.4484e+03,2.9479e+03,29.0201,12.7848,1.6240e+03,4.4242,201.5837
0.0104,0.4507,2.4457e+03,2.9435e+03,28.8645,11.7516,1.6313e+03,5.1467,224.0606
0.0109,0.4507,2.4431e+03,2.9390e+03,28.7163,10.7720,1.6384e+03,6.0092,248.6998
0.0115,0.4507,2.4405e+03,2.9345e+03,28.5790,9.8516,1.6454e+03,6.9340,274.3902
0.0120,0.4507,2.4379e+03,2.9300e+03,28.4470,8.9802,1.6523e+03,7.8955,301.0110
0.0126,0.4507,2.4354e+03,2.9254e+03,28.3199,8.1690,1.6591e+03,8.8681,327.8643
0.0132,0.4507,2.4329e+03,2.9209e+03,28.1994,7.4422,1.6656e+03,9.8197,354.2015
0.0138,0.4507,2.4305e+03,2.9163e+03,28.0857,6.7993,1.6720e+03,10.7567,380.2468
0.0144,0.4507,2.4281e+03,2.9118e+03,27.9789,6.2549,1.6784e+03,11.6720,405.7517
0.0151,0.4507,2.4257e+03,2.9073e+03,27.8740,5.8230,1.6844e+03,12.5619,430.7086
0.0158,0.4507,2.4234e+03,2.9028e+03,27.7748,5.5161,1.6903e+03,13.4228,454.9287
0.0166,0.4507,2.4212e+03,2.8984e+03,27.6793,5.3391,1.6961e+03,14.2639,478.6316
0.0173,0.4507,2.4190e+03,2.8940e+03,27.5873,5.2946,1.7016e+03,15.0718,501.3821
0.0181,0.4507,2.4168e+03,2.8897e+03,27.4977,5.3705,1.7069e+03,15.8466,523.2668
0.0190,0.4507,2.4147e+03,2.8855e+03,27.4120,5.5531,1.7120e+03,16.6048,544.7702
0.0199,0.4507,2.4126e+03,2.8814e+03,27.3302,5.8213,1.7171e+03,17.3353,565.5310
0.0208,0.4507,2.4106e+03,2.8774e+03,27.2519,6.1499,1.7218e+03,18.0306,585.3123
0.0218,0.4507,2.4086e+03,2.8734e+03,27.1727,6.5313,1.7265e+03,18.7121,604.6913
0.0228,0.4507,2.4067e+03,2.8695e+03,27.0960,6.9384,1.7309e+03,19.3581,623.0471
0.0239,0.4507,2.4048e+03,2.8657e+03,27.0215,7.3704,1.7352e+03,19.9873,640.9708
0.0251,0.4507,2.4029e+03,2.8619e+03,26.9503,7.8134,1.7393e+03,20.5923,658.2395
0.0262,0.4507,2.4011e+03,2.8582e+03,26.8836,8.2597,1.7432e+03,21.1726,674.8198
0.0275,0.4507,2.3993e+03,2.8546e+03,26.8182,8.7074,1.7471e+03,21.7331,690.7358
0.0288,0.4507,2.3976e+03,2.8511e+03,26.7547,9.1484,1.7507e+03,22.2687,705.9637
0.0301,0.4507,2.3959e+03,2.8476e+03,26.6969,9.5852,1.7543e+03,22.7867,720.8012
0.0316,0.4507,2.3942e+03,2.8443e+03,26.6402,10.0123,1.7578e+03,23.2836,734.8841
0.0330,0.4507,2.3926e+03,2.8410e+03,26.5841,10.4274,1.7610e+03,23.7592,748.4409
0.0346,0.4507,2.3910e+03,2.8378e+03,26.5260,10.8343,1.7641e+03,24.2193,761.5796
0.0362,0.4507,2.3894e+03,2.8347e+03,26.4679,11.2285,1.7670e+03,24.6607,774.1803
0.0379,0.4507,2.3879e+03,2.8315e+03,26.4149,11.6109,1.7698e+03,25.0854,786.2340
0.0397,0.4507,2.3864e+03,2.8285e+03,26.3619,11.9805,1.7725e+03,25.4931,797.7788
0.0416,0.4507,2.3849e+03,2.8256e+03,26.3106,12.3364,1.7750e+03,25.8837,808.8679
0.0435,0.4507,2.3835e+03,2.8227e+03,26.2633,12.6796,1.7775e+03,26.2589,819.5778
0.0456,0.4507,2.3821e+03,2.8199e+03,26.2183,13.0098,1.7798e+03,26.6189,829.7636
0.0478,0.4507,2.3807e+03,2.8171e+03,26.1753,13.3279,1.7821e+03,26.9650,839.5796
0.0500,0.4507,2.3794e+03,2.8144e+03,26.1316,13.6334,1.7842e+03,27.2970,848.9900
0.0524,0.4507,2.3780e+03,2.8118e+03,26.0880,13.9273,1.7862e+03,27.6163,857.9815
0.0548,0.4507,2.3768e+03,2.8092e+03,26.0510,14.2078,1.7882e+03,27.9209,866.6248
0.0574,0.4507,2.3755e+03,2.8068e+03,26.0174,14.4779,1.7901e+03,28.2146,875.0946
0.0601,0.4507,2.3743e+03,2.8043e+03,25.9842,14.7357,1.7919e+03,28.4952,883.1167
0.0630,0.4507,2.3731e+03,2.8020e+03,25.9476,14.9838,1.7936e+03,28.7658,890.8075
0.0659,0.4507,2.3719e+03,2.7997e+03,25.9112,15.2203,1.7951e+03,29.0243,898.1444
0.0690,0.4507,2.3708e+03,2.7975e+03,25.8737,15.4474,1.7965e+03,29.2734,905.2333
0.0723,0.4507,2.3697e+03,2.7953e+03,25.8351,15.6642,1.7977e+03,29.5120,911.9696
0.0757,0.4507,2.3686e+03,2.7932e+03,25.7976,15.8718,1.7989e+03,29.7411,918.4736
