f_D,j_C_C,j_C_H,Re_C,Re_C_std,Re_H,Re_H_std,rmsd_fiber,rmsd_TC,rmsd_DP,rmsd_Tout,rmsd_qdot,DP_C,DP_H,T_C_out,T_H_out,qdot_C,qdot_H
0.0100,1.0000e-04,1.9953e-04,2.3250e+03,461.6599,2.5198e+03,383.9996,123.3310,153.7355,6.9007e+03,317.4983,7.6276e+03,39.6838,226.5317,83.4673,376.2463,1.7818e+03,-1.7765e+03
0.0100,1.0000e-04,3.9811e-04,2.4122e+03,494.1089,2.5400e+03,388.1791,140.2724,156.7994,6.9012e+03,305.2074,7.2865e+03,42.3288,223.7773,92.3335,360.3624,2.1231e+03,-2.1176e+03
0.0100,1.9953e-04,1.0000e-04,2.2769e+03,444.4399,2.5110e+03,382.6838,146.7578,185.3731,6.9005e+03,322.9930,7.7873e+03,38.4452,227.7163,79.8828,383.7062,1.6224e+03,-1.6165e+03
0.0100,0.0501,3.9811e-04,2.6157e+03,551.4745,2.7830e+03,478.6501,146.0942,160.7033,6.9105e+03,177.6103,4.2781e+03,63.0963,193.4335,210.4021,221.3776,5.1367e+03,-5.1228e+03
2.5119,7.9433e-04,1.0000e-04,2.3502e+03,478.5734,2.5329e+03,388.4203,185.7409,220.7720,3.4324e+04,311.3832,7.4602e+03,1.0201e+04,5.6570e+04,88.1216,368.6098,1.9508e+03,-1.9424e+03
2.5119,7.9433e-04,1.9953e-04,2.5370e+03,544.6479,2.6095e+03,410.5058,148.9626,178.2915,3.2699e+04,267.9085,6.3412e+03,1.2245e+04,5.4011e+04,123.8189,316.6675,3.0724e+03,-3.0593e+03
2.5119,7.9433e-04,3.9811e-04,2.6266e+03,549.9606,2.6997e+03,443.2020,106.0902,131.1156,3.1035e+04,216.5491,5.1423e+03,1.4533e+04,5.1218e+04,171.7384,261.0652,4.2752e+03,-4.2554e+03
2.5119,7.9433e-04,7.9433e-04,2.6462e+03,534.5828,2.7830e+03,479.3113,74.0124,93.8894,2.9679e+04,170.8098,4.1125e+03,1.6522e+04,4.8773e+04,216.8467,214.0322,5.3094e+03,-5.2819e+03
2.5119,7.9433e-04,0.0016,2.6406e+03,522.0376,2.8431e+03,507.7925,62.0565,71.5600,2.8765e+04,138.1692,3.3761e+03,1.7953e+04,4.7007e+04,250.0739,181.5321,6.0499e+03,-6.0158e+03
2.5119,7.9433e-04,0.0032,2.6317e+03,515.0690,2.8784e+03,524.7212,63.1036,61.2290,2.8230e+04,118.1493,2.9167e+03,1.8854e+04,4.5906e+04,270.9669,162.1615,6.5122e+03,-6.4736e+03
2.5119,7.9433e-04,0.0063,2.6252e+03,511.6696,2.8965e+03,533.3391,66.8364,57.4449,2.7942e+04,106.9591,2.6555e+03,1.9373e+04,4.5284e+04,282.8625,151.5916,6.7752e+03,-6.7341e+03
2.5119,7.9433e-04,0.0126,2.6212e+03,510.1302,2.9053e+03,537.5310,69.6825,56.2296,2.7793e+04,101.0206,2.5149e+03,1.9653e+04,4.4954e+04,289.2501,146.0752,6.9164e+03,-6.8745e+03
2.5119,7.9433e-04,0.0251,2.6191e+03,509.4284,2.9095e+03,539.5810,71.3785,55.8377,2.7718e+04,97.9558,2.4416e+03,1.9799e+04,4.4783e+04,292.5696,143.2579,6.9898e+03,-6.9480e+03
2.5119,7.9433e-04,0.0501,2.6179e+03,509.0955,2.9116e+03,540.5946,72.3009,55.6957,2.7680e+04,96.3968,2.4038e+03,1.9874e+04,4.4697e+04,294.2646,141.8335,7.0273e+03,-6.9862e+03
0.0100,0.0501,7.9433e-04,2.5840e+03,536.6542,2.9288e+03,548.0628,107.4678,107.7828,6.9165e+03,106.9003,2.6814e+03,73.6756,176.0073,283.2549,152.0003,6.7423e+03,-6.7144e+03
2.5119,7.9433e-04,0.1000,2.6173e+03,508.9308,2.9127e+03,541.0941,72.7821,55.6345,2.7661e+04,95.6094,2.3843e+03,1.9912e+04,4.4653e+04,295.1225,141.1162,7.0463e+03,-7.0062e+03
2.5119,0.0016,1.0000e-04,2.3639e+03,484.7233,2.5380e+03,389.8275,196.1407,231.1810,3.4207e+04,308.6721,7.3875e+03,1.0321e+04,5.6392e+04,90.2139,365.2489,2.0236e+03,-2.0150e+03
2.5119,0.0016,1.9953e-04,2.5509e+03,549.5916,2.6251e+03,415.8038,164.0185,191.7119,3.2378e+04,259.7868,6.1488e+03,1.2563e+04,5.3505e+04,131.2537,307.7443,3.2653e+03,-3.2514e+03
2.5119,0.0016,3.9811e-04,2.6264e+03,550.0148,2.7358e+03,458.1994,121.4645,141.5395,3.0371e+04,199.0218,4.7505e+03,1.5156e+04,5.0121e+04,189.0181,243.0765,4.6687e+03,-4.6459e+03
2.5119,0.0016,7.9433e-04,2.6248e+03,533.2694,2.8448e+03,508.4620,81.3009,95.9975,2.8612e+04,142.6040,3.4845e+03,1.7471e+04,4.6930e+04,245.7237,186.1785,5.9411e+03,-5.9076e+03
2.5119,0.0016,0.0016,2.6000e+03,522.5090,2.9231e+03,546.7696,53.6172,63.2641,2.7348e+04,101.1001,2.5325e+03,1.9181e+04,4.4461e+04,289.2706,146.3006,6.8996e+03,-6.8563e+03
2.5119,0.0016,0.0032,2.5771e+03,517.8758,2.9628e+03,564.9403,40.9694,43.6535,2.6578e+04,75.1668,1.9133e+03,2.0291e+04,4.2844e+04,317.6894,122.8826,7.5237e+03,-7.4742e+03
2.5119,0.0016,0.0063,2.5618e+03,516.2484,2.9774e+03,571.3854,38.2379,33.6195,2.6159e+04,60.5223,1.5506e+03,2.0945e+04,4.1908e+04,334.3110,110.4572,7.8899e+03,-7.8369e+03
2.5119,0.0016,0.0126,2.5527e+03,515.8450,2.9818e+03,573.3228,38.7589,29.0199,2.5944e+04,52.7071,1.3524e+03,2.1305e+04,4.1405e+04,343.3809,104.1247,8.0900e+03,-8.0358e+03
2.5119,0.0016,0.0251,2.5477e+03,515.8043,2.9829e+03,574.4904,39.6227,26.9849,2.5835e+04,48.6603,1.2482e+03,2.1495e+04,4.1145e+04,348.1352,100.9352,8.1950e+03,-8.1408e+03
0.0100,0.0501,0.0016,2.5291e+03,530.3080,3.0156e+03,584.5020,75.9532,64.2820,6.9222e+03,52.6809,1.3785e+03,81.6527,160.7613,343.5017,104.2456,8.0573e+03,-8.0146e+03
2.5119,0.0016,0.0501,2.5451e+03,515.8262,2.9830e+03,575.0281,40.2221,26.0640,2.5781e+04,46.5983,1.1946e+03,2.1593e+04,4.1012e+04,350.5748,99.3368,8.2489e+03,-8.1951e+03
2.5119,0.0016,0.1000,2.5437e+03,515.8459,2.9830e+03,575.2742,40.5657,25.6298,2.5754e+04,45.5558,1.1672e+03,2.1642e+04,4.0944e+04,351.8119,98.5348,8.2762e+03,-8.2231e+03
2.5119,0.0032,1.0000e-04,2.3710e+03,487.7639,2.5408e+03,390.6290,201.9718,237.4953,3.4142e+04,307.1761,7.3480e+03,1.0387e+04,5.6293e+04,91.3854,363.4108,2.0629e+03,-2.0547e+03
2.5119,0.0032,1.9953e-04,2.5568e+03,552.1494,2.6342e+03,419.0343,173.2029,200.7122,3.2190e+04,255.1234,6.0398e+03,1.2740e+04,5.3208e+04,135.5734,302.6725,3.3740e+03,-3.3607e+03
