f_D,j_C_C,j_C_H,Re_C,Re_C_std,Re_H,Re_H_std,rmsd_fiber,rmsd_TC,rmsd_DP,rmsd_Tout,rmsd_qdot,DP_C,DP_H,T_C_out,T_H_out,qdot_C,qdot_H
0.0100,1.0000e-04,1.9953e-04,2.8292e+03,581.0539,3.0982e+03,472.3428,125.2211,155.9110,1.0381e+04,320.1982,9.4769e+03,59.1990,350.5746,81.6133,377.3813,2.2212e+03,-2.2148e+03
0.0100,1.0000e-04,3.9811e-04,2.9424e+03,623.6606,3.1237e+03,477.6720,141.8081,158.1744,1.0382e+04,307.7129,9.0471e+03,63.2873,346.2294,90.4796,361.1010,2.6512e+03,-2.6444e+03
0.0100,1.9953e-04,1.0000e-04,2.7666e+03,557.5081,3.0867e+03,470.6039,148.7040,187.8379,1.0381e+04,325.8824,9.6817e+03,57.2684,352.5055,77.9794,385.1717,2.0168e+03,-2.0096e+03
0.0100,0.0501,3.9811e-04,3.2084e+03,697.8334,3.4272e+03,592.3513,147.7316,162.5662,1.0397e+04,179.3899,5.3240e+03,95.0701,299.0854,208.9987,221.0516,6.3803e+03,-6.3638e+03
2.5119,7.9433e-04,1.0000e-04,2.8615e+03,601.2338,3.1140e+03,477.8039,187.2847,222.8436,5.3420e+04,314.3024,9.2776e+03,1.5216e+04,8.7696e+04,86.0791,369.9977,2.4225e+03,-2.4123e+03
2.5119,7.9433e-04,1.9953e-04,3.1037e+03,689.0868,3.2097e+03,505.7520,150.4863,180.2321,5.0864e+04,270.5514,7.8853e+03,1.8357e+04,8.3695e+04,121.7068,317.4097,3.8180e+03,-3.8019e+03
2.5119,7.9433e-04,3.9811e-04,3.2213e+03,696.7088,3.3229e+03,547.5180,107.3517,132.6802,4.8240e+04,218.5939,6.3919e+03,2.1893e+04,7.9326e+04,170.0678,261.0149,5.3163e+03,-5.2914e+03
2.5119,7.9433e-04,7.9433e-04,3.2483e+03,676.4952,3.4280e+03,594.0500,74.9768,94.8502,4.6098e+04,172.1879,5.1077e+03,2.4977e+04,7.5500e+04,215.7786,213.2110,6.6061e+03,-6.5715e+03
2.5119,7.9433e-04,0.0016,3.2425e+03,659.7827,3.5042e+03,631.0697,62.9543,71.9381,4.4655e+04,139.0272,4.1884e+03,2.7200e+04,7.2736e+04,249.5006,180.1263,7.5303e+03,-7.4876e+03
2.5119,7.9433e-04,0.0032,3.2321e+03,650.4623,3.5490e+03,653.2403,64.1158,61.2287,4.3809e+04,118.6821,3.6144e+03,2.8603e+04,7.1016e+04,270.7164,160.3996,8.1081e+03,-8.0594e+03
