ineff,eff,alpha,NTU,C_r,T_C_out,T_H_out,m_dot_C,m_dot_H,ConvSteps,run
0.9953,0.0047,0.0,1.0,0.0,52.849,50.0,1.7373,75.3488,200,1
0.3814,0.6186,0.0,1.0,0.1,421.15,612.89,1.7372,17.3717,34,2
0.395,0.605,0.0,1.0,0.2,413.03,577.4,1.7372,8.6858,108,3
0.4084,0.5916,0,1,0.3000,404.93,543.53,1.7368,5.7904,200,4
0.422,0.578,0.0,1.0,0.4,396.87,511.27,1.7373,4.343,200,5
0.4353,0.5647,0.0,1.0,0.5,388.84,480.58,1.7372,3.4743,24,6
0.4484,0.5516,0.0,1.0,0.6,380.98,451.49,1.7366,2.8951,200,7
0.4617,0.5383,0.0,1.0,0.7,373.01,423.89,1.7372,2.4816,200,8
0.4746,0.5254,0.0,1.0,0.8,365.21,397.8,1.7373,2.1715,200,9
0.4874,0.5126,0.0,1.0,0.9,357.58,373.19,1.737,1.9302,200,10
0.5,0.5,0.0,1.0,1.0,349.99,349.99,1.7371,1.737,200,11
0.9984,0.0016,0.1,1.0,0.0,50.943000000000005,50.0,1.7373,135.1968,200,12
0.3816,0.6184,0.1,1.0,0.1,421.04,612.89,1.7373,17.2425,200,13
0.3952,0.6048,0.1,1.0,0.2,412.86,577.42,1.7372,8.6212,62,14
0.4089,0.5911,0.1,1.0,0.3,404.65,543.58,1.7373,5.7474,200,15
0.4224,0.5776,0.1,1.0,0.4,396.56,511.37,1.7372,4.3106,129,16
0.4358,0.5642,0.1,1.0,0.5,388.49,480.75,1.7372,3.4485,149,17
0.4492,0.5508,0.1,1.0,0.6,380.49,451.7,1.7372,2.8737,200,18
0.4623,0.5377,0.1,1.0,0.7,372.61,424.2,1.737,2.4632,200,19
0.4753,0.5247,0.1,1.0,0.8,364.74,398.17,1.7372,2.1553,200,20
0.4883,0.5117,0.1000,1,0.9000,357.08,373.63,1.7373,1.9158,199,21
0.4971,0.5029,0.1000,1,1,349.49,350.5,1.7373,1.7242,200,22
0.9978,0.0022,0.2,1.0,0.0,51.297,50.0,1.7372,191.9557,200,23
0.3820,0.6180,0.2000,1,0.1000,420.83,612.91,1.7373,17.2800,29,24
0.3960,0.6040,0.2000,1,0.2000,412.41,577.51,1.7373,8.6400,200,25
0.4098,0.5902,0.2000,1,0.3000,404.08,543.77,1.7370,5.7600,86,26
0.4236,0.5764,0.2,1.0,0.4,395.79,511.68,1.7371,4.32,66,27
0.4373,0.5627,0.2,1.0,0.5,387.6,481.2,1.7372,3.456,78,28
0.4509,0.5491,0.2,1.0,0.6,379.49,452.31,1.7372,2.88,51,29
0.4642,0.5358,0.2,1.0,0.7,371.48,424.97,1.7373,2.4686,195,30
0.4773,0.5227,0.2,1.0,0.8,363.59,399.13,1.7372,2.16,23,31
0.4903,0.5097,0.2,1.0,0.9,355.83,374.75,1.7372,1.92,22,32
0.5003,0.4997,0.2,1.0,1.0,348.22,351.8,1.7371,1.728,200,33
1.0001,-0.00010551,0.3,1.0,0.0,0.0,0.0,1.7373,231.1179,200,34
0.3824,0.6176,0.3,1.0,0.1,420.51,612.94,1.7372,17.2905,200,35
0.3969,0.6031,0.3,1.0,0.2,411.86,577.63,1.7372,8.6453,95,36
0.4112,0.5888,0.3,1.0,0.3,403.28,544.02,1.7373,5.7635,80,37
0.4253,0.5747,0.3,1.0,0.4,394.81,512.09,1.7371,4.3226,200,38
0.4393,0.5607,0.3,1.0,0.5,386.42,481.79,1.7372,3.4581,22,39
0.4531,0.5469,0.3,1.0,0.6,378.16,453.11,1.7372,2.8817,22,40
0.4666,0.5334,0.3,1.0,0.7,370.02,425.98,1.7372,2.4701,200,41
0.4799,0.5201,0.3,1.0,0.8,362.06,400.37,1.7371,2.1613,58,42
0.4929,0.5071,0.3,1.0,0.9,354.22,376.21,1.7371,1.9212,92,43
0.5034,0.4966,0.3,1.0,1.0,346.55,353.46,1.7371,1.729,20,44
1.0001,-0.00011835,0.4,1.0,0.0,0.0,0.0,1.7373,270.104,200,45
0.3829,0.6171,0.4,1.0,0.1,420.24,612.97,1.7372,17.3068,29,46
